name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,genre,YOUTUBE,spotify
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,10/27/1982,68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4,Happy,Folk,https://youtu.be/rblt2EtFfC4?si=1HAh6wIJwvf1tQLK,https://open.spotify.com/track/2QSUyofqpGDCo026OPiTBQ?si=da3881e67f7f42ee
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,4/16/2007,43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Sad,Classical,https://youtu.be/NOlsXnlY1VY?si=maGMgNcSdmzLUKF-,https://open.spotify.com/track/2RaGRh57p4OtzpXtr65Nws?si=3a6e9a865e234ffe
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,11/6/2006,60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,Sad,Pop,https://youtu.be/EDn7-xC2A8E?si=qsrJISRP-8ae5m8u,https://open.spotify.com/track/08YEGpKt2LHJ0URCXKHEie?si=01a1dcc201e644c7
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,8/21/1984,2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy,Electronic,https://youtu.be/Fpu5a0Bl8eY?si=6XIH7_aSII-zS-sP,https://open.spotify.com/track/2IJftBfq7pJ43tfnOR0RB3?si=c9e4fa1fc1574e01
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/1/2004,60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4,Energetic,Pop,https://youtu.be/TPxt_5lpBKU?si=3-MdmN661w7KkSxj,https://open.spotify.com/track/47IWLfIKOKhFnz1FUEUIkE?si=d7effd1520484f27
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,7/31/2020,27,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,5,Calm,Pop,https://youtu.be/qvsE-C2i6Xs?si=mKO76qE8IFdMEOKd,https://open.spotify.com/track/2XBc2jWnvPqNO2LebVtLaY?si=5369ae0223884b42
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,8/7/2020,29,141888,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,4,Calm,Soul,https://youtu.be/owmm4fg7ghw?si=gB9pLoHGn0dhHyM0,https://open.spotify.com/track/5PkOQyobg2vOiuCzIZrgyA?si=e400509a0f464b63
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,12/28/2009,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,Happy,Soul,https://youtu.be/Zx1_6F-nCaw?si=56XpLVXncag8koWP,https://open.spotify.com/track/5rAxhWcgFng3s570sGO2F8?si=d7250dafc8794d9d
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,10/24/2000,68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4,Energetic,Classical,https://youtu.be/3t2WkCudwfY?si=Q63GTNSzo7xHckeD,https://open.spotify.com/track/5rAxhWcgFng3s570sGO2F8?si=8619aee1f819437f
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,5/15/2007,0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic,Folk,https://youtu.be/acIU7yxzJ70?si=4IVNsxaQKi4UROTH,https://open.spotify.com/track/0lHSJ0ZP8uUPnJXhMdGjOK?si=8d11b9f96d6c44e6
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,11/9/2018,55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Energetic,Indie,https://youtu.be/AribxP7MA44?si=j63LfwrSL4ALx_bV,https://open.spotify.com/track/1RvDsjCBDTES3lPiEGNNMY?si=9a56813cdbb546b5
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,1/17/2020,52,182000,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,4,Calm,Pop,https://youtu.be/xevzDb1pef8?si=zbddL5APhlxNae1M,https://open.spotify.com/track/6w0vhPaZBYjhrDobs3QE14?si=5a57570a79a545cc
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,3/21/2018,53,158117,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,4,Calm,R&B,https://youtu.be/DD8VXeWlEic?si=opu3WnZi-L0xNfpX,https://open.spotify.com/track/3TNNGjgOQ7O8vwAlvlD9Fg?si=9397d717c69c4500
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,7/29/2016,38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Energetic,Electronic,https://youtu.be/MvK-3Ms3m34?si=IgnMf3Qgnqg3wIvG,https://open.spotify.com/track/1MJ2PGCxb3DWkd7ES6Z2Nw?si=f18b87faad4248e2
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,4/8/1982,84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,Happy,Pop,https://youtu.be/Kb7lAMjFuA0?si=JqdlfwU4N4jb8ENR,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX?si=55cbdaa38d4a4a1f
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,8/3/2020,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,Calm,R&B,https://youtu.be/qvsE-C2i6Xs?si=mKO76qE8IFdMEOKd,https://open.spotify.com/track/2XBc2jWnvPqNO2LebVtLaY?si=5369ae0223884b42
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,10/30/2007,13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic,Classical,https://youtu.be/HIRNdveLnJI?si=Vd6NTtPPAdGWI_jb,https://open.spotify.com/track/7zAt4tdL44D3VuzsvM0N8n?si=10d6c2b439e74da2
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,10/28/2016,0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,Sad,Jazz,https://youtu.be/N8XEN89CIY8?si=5-sihsX_OoQcLi_O,https://open.spotify.com/track/64LgFU8VJlMEbXZt9FNZ1q?si=e6a1320b21284894
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4,Sad,Metal,https://youtu.be/jkM3M3zGcGE?si=plviWIcUUCQcvd0S,https://open.spotify.com/track/33HRECrmuelZxOpid6XTNX?si=ca58d5905b024d5c
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,11/16/2018,51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic,Electronic,https://youtu.be/-GGJLcVZHG8?si=jGUtmbuwnBdwC9kS,https://open.spotify.com/track/73kMs91di1JUxBGEymBlqO?si=022f9ddcb1d84a35
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,9/7/2012,29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,Sad,Punk,https://youtu.be/mtf7hC17IBM?si=YjW2NsK6r-JIREER,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs?si=3bbc422c1ad34ddc
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,7/31/2019,1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad,Dance,https://youtu.be/mtf7hC17IBM?si=lWzJYWgl3ZgOZ-b-,https://open.spotify.com/track/7jL5aGalMaZRfnJ9jasABT?si=e50052ec1233408a
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,9/1/2005,39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3,Energetic,Country,https://youtu.be/4q3KTBBsbpE?si=Hx0tfLhkzdp6x8lW,https://open.spotify.com/track/0CbESIyx34Usxoy7emUEBd?si=08477f3bbd824711
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,11/10/2003,39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Energetic,Dance,https://youtu.be/hRLx61NYAmU?si=NsXklJvLe_5h_bwg,https://open.spotify.com/track/17Nk1aji6gd26vabky7fMi?si=ea1edcf0c23947a7
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,8/30/2013,85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad,Folk,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a?si=b01d14d3a0fa4a0a,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a?si=59627280b8024bf8
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,7/14/2017,22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4,Happy,Rock,https://youtu.be/O8RwDfYMUjk?si=NcscKs0LeTapYP99,https://open.spotify.com/track/78ibUxvL0PcP4LRHQ3nVzs?si=167b37a31b8840aa
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,11/12/2002,63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Energetic,Folk,https://youtu.be/O8RwDfYMUjk?si=bjujp8fCkJQ3dM3f,https://open.spotify.com/track/7kpa6MWRrPaF3b6C0DgioK?si=5ad3a00e504c4547
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,12/4/2009,0,227639,0.391,0.992,0.0576,0.947,0.117,0.359,-25.585,0.0342,145.569,10,3,Calm,Jazz,https://youtu.be/GFbkF_fsW24?si=2jztl9tAD_AgRomn,https://open.spotify.com/track/25zykbJGBYXYjnq5VyhO3N?si=9186e38757284e2e
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,7/9/2020,38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Calm,Country,https://youtu.be/6M9D-AFzj14?si=U5tVcBJhyyTxFF6i,https://open.spotify.com/album/0ZOhYf87hMoGk1jZMOLybU?si=gnPtrEb5SviuxT9adHFGaQ
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,10/23/2015,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad,Jazz,https://youtu.be/OmKAn8rNbKg?si=JuAkpsX4eR_vtbfK,https://open.spotify.com/track/7qH9Z4dJEN0l9bidizW7fq?si=c52121db3b704c16
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,1/17/2019,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad,Hip-Hop,https://youtu.be/Aki1Xn36eJ8?si=szt-B3EI9j92s75R,https://open.spotify.com/track/51EMSRpNm9Rg5rGViVCczv?si=10f65e03ee68486c
